Industry,Activity,Location,Website / Link,Linkedin Page,Size of the Company,JOB Position,Certification,Accroche,Opportunity Status,number of contact iteration
chemicals,plastics,Mahdia,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,9
chemicals,plastics,Monastir,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,6
chemicals,Canned and Preserved Foods,sousse,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,3
chemicals,Biscuits and Confectioneries,Sousse,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,4
chemicals,Healthy Snacks and Natural Products,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,Healthy Snacks and Natural Products,,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,6
chemicals,Dairy and Dairy Derivatives,Tunis,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,4
chemicals,Canned and Preserved Foods,Nabeul,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,6
chemicals,Cereals and Derivatives,Nabeul,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,car manufacturing,Zagouane,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,3
chemicals,Beverages,Zagouane,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,4
chemicals,Canned and Preserved Foods,Zagouane,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,Canned and Preserved Foods,Zagouane,yes,yes,100-200,Directeur générale,yes,LinkedIn,yes,5
chemicals,pharmaceutical,Zagouane,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,3
chemicals,plastics,Zagouane,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,4
chemicals,plastics,Zagouane,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,6
chemicals,Oils and Fats,Zagouane,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,7
chemicals,pharmaceutical,Nabeul,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,packaging,Nabeul,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,5
chemicals,packaging,Nabeul,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,3
chemicals,plastics,Nabeul,yes,yes,100-200,Directeur générale,yes,LinkedIn,yes,4
chemicals,plastics,Nabeul,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,6
chemicals,plastics,Kairouan,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,7
Agri-food,plastics,Sousse,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,8
Agri-food,plastics,Sousse,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,6
Agri-food,plastics,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,6
Agri-food,plastics,Kairouan,yes,yes,200-300,Directeur générale,yes,LinkedIn,yes,4
Agri-food,packaging,Kairouan,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,5
Agri-food,pharmaceutical,Kairouan,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,8
Agri-food,pharmaceutical,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,9
Agri-food,plastics,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,LinkedIn,yes,6
Agri-food,plastics,Sousse,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,3
Agri-food,plastics,Sousse,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,4
Agri-food,plastics,Monastir,yes,yes,100-200,le Directeur d'Usine,yes,LinkedIn,yes,5
Agri-food,plastics,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,Partner,yes,6
Agri-food,plastics,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,Partner,yes,4
Agri-food,plastics,Sousse,yes,yes,100-200,le Directeur d'Usine,yes,Partner,yes,6
Agri-food,plastics,Sousse,yes,yes,100-200,Directeur générale,yes,Partner,yes,5
Agri-food,plastics,Sousse,yes,yes,200-300,Directeur générale,yes,E-mail,yes,3
Agri-food,plastics,Sousse,yes,yes,200-300,Directeur générale,yes,E-mail,yes,4
Agri-food,plastics,Sousse,yes,yes,200-300,Directeur générale,yes,E-mail,yes,5
Agri-food,packaging,Monastir,yes,yes,200-300,Directeur générale,yes,E-mail,yes,4
Agri-food,packaging,Monastir,yes,yes,100-200,Directeur générale,yes,E-mail,yes,6
Agri-food,plastics,Kairouan,yes,yes,100-200,Directeur générale,yes,E-mail,yes,5
Agri-food,plastics,Sousse,yes,yes,200-300,Directeur générale,yes,E-mail,yes,4
Agri-food,plastics,Mahdia,yes,yes,200-300,le Directeur d'Usine,yes,E-mail,yes,6
Agri-food,plastics,Sousse,yes,yes,200-300,le Directeur d'Usine,yes,E-mail,yes,5
Agri-food,plastics,Sousse,yes,yes,100-200,le Directeur d'Usine,yes,Event,yes,4
Agri-food,pharmaceutical,Kairouan,yes,yes,100-200,le Directeur d'Usine,yes,Event,yes,6
Agri-food,car manufacturing,Mahdia,yes,yes,100-200,le Directeur d'Usine,yes,Event,yes,5
Agri-food,pharmaceutical,Sousse,yes,yes,100-200,le Directeur d'Usine,yes,Event,yes,6
Agri-food,packaging,Mahdia,yes,yes,100-200,le Directeur d'Usine,yes,Partner,yes,7
Agri-food,packaging,Mahdia,yes,yes,100-200,le Directeur d'Usine,yes,Partner,yes,8
Agri-food,plastics,Mahdia,yes,yes,200-300,le Directeur d'Usine,yes,Partner,yes,6
Agri-food,plastics,sousse,No,No,from 50 to 100,agent comercial,No,Phone,No,10
Agri-food,plastics,Gabes,No,No,from 50 to 100,agent comercial,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Médnine,No,No,300-500,agent comercial,No,Phone,No,10
Agri-food,Biscuits and Confectioneries,Tunis,No,No,from 50 to 100,agent comercial,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Ariana,No,No,from 50 to 100,agent comercial,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,MaNouba,No,No,300-500,agent comercial,No,Phone,No,10
Agri-food,Dairy and Dairy Derivatives,Nabeul,No,No,300-500,agent comercial,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Béja,No,No,300-500,agent comercial,No,Phone,No,10
Agri-food,Cereals and Derivatives,Kef / SIliana,No,No,from 50 to 100,agent comercial,No,Phone,No,10
Agri-food,car manufacturing,Sousse,No,No,from 50 to 100,agent comercial,No,Phone,No,10
Agri-food,Beverages,Bizerte,No,No,300-500,agent comercial,No,Phone,No,10
Agri-food,Flour-Based Products,Kairouan,yes,yes,200-300,le Directeur d'Usine,yes,Event,yes,4
Agri-food,Biscuits and Confectioneries,Monastir,yes,yes,100-200,Directeur générale,yes,Event,yes,6
Agri-food,Flour-Based Products,Sousse,yes,yes,100-200,Directeur générale,yes,Event,yes,7
Agri-food,Biscuits and Confectioneries,Monastir,yes,yes,200-300,le Directeur d'Usine,yes,Event,yes,5
Agri-food,Canned and Preserved Foods,Mahdia,yes,yes,200-300,le Directeur d'Usine,yes,Event,yes,5
Agri-food,Canned and Preserved Foods,,yes,yes,100-200,le Directeur d'Usine,yes,Event,yes,3
Agri-food,Canned and Preserved Foods,Mahdia,yes,yes,200-300,le Directeur d'Usine,yes,Event,yes,4
Agri-food,Canned and Preserved Foods,Monastir,yes,yes,100-200,Directeur générale,yes,Event,yes,6
Agri-food,Canned and Preserved Foods,Kairouan,yes,yes,200-300,Directeur générale,yes,Event,yes,7
Agri-food,Coffee,Monastir,yes,yes,200-300,Directeur générale,yes,Event,yes,8
Agri-food,Coffee,Monastir,yes,yes,200-300,Directeur générale,yes,Event,yes,6
Agri-food,Coffee,Monastir,yes,yes,200-300,Directeur générale,yes,Event,yes,6
Agri-food,Canned and Preserved Foods,Sfax,No,No,300-500,agent comercial,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Tunis,No,No,300-500,agent comercial,No,Phone,No,10
Agri-food,Cereals and Derivatives,Gabes,No,No,from 50 to 100,agent comercial,No,Phone,No,10
Agri-food,animal food manufacturing,Tunis,No,No,from 50 to 100,agent comercial,No,Phone,No,10
Agri-food,animal food manufacturing,Bizerte,No,No,300-500,RH,No,Phone,No,10
Agri-food,animal food manufacturing,Tunis,No,No,from 50 to 100,RH,No,Phone,No,10
Agri-food,animal food manufacturing,Nabeul,No,No,300-500,RH,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,from 50 to 100,RH,No,Phone,No,10
Agri-food,Oils and Fats,sousse,No,No,from 50 to 100,RH,No,Phone,No,10
Agri-food,Oils and Fats,Sfax,No,No,300-500,RH,No,Phone,No,10
Agri-food,Oils and Fats,Sfax,No,No,300-500,RH,No,Phone,No,10
Agri-food,Oils and Fats,Sfax,No,No,300-500,RH,No,Phone,No,10
Agri-food,Oils and Fats,tunis,No,No,from 50 to 100,RH,No,Phone,No,10
Agri-food,Oils and Fats,Sfax,No,No,from 50 to 100,RH,No,Phone,No,10
Agri-food,Oils and Fats,Sfax,No,No,from 50 to 100,RH,No,Phone,No,10
Agri-food,Oils and Fats,Ben Arous,No,No,300-500,RH,No,Phone,No,10
Agri-food,Oils and Fats,Sfax,No,No,from 50 to 100,RH,No,Phone,No,10
Agri-food,Oils and Fats,Sousse,No,No,from 50 to 100,RH,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,300-500,RH,No,Phone,No,10
Agri-food,Oils and Fats,Zaghouan,No,No,300-500,RH,No,Phone,No,10
Agri-food,Oils and Fats,Kélibia,No,No,300-500,RH,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,RH,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Kélibia,No,No,from 50 to 100,RH,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Ben Arous,No,No,300-500,RH,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Ben Arous,No,No,300-500,RH,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Ben Arous,No,No,300-500,RH,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Nabeul,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Nabeul,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Menzel Temime,No,No,300-500,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Ben Arous,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,300-500,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,300-500,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Ben Arous,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Ben Arous,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Ben Arous,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
industrial manufacturing,packaging,Sousse,No,No,from 50 to 100,RH,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,300-500,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,Bizerte,No,No,300-500,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,Monastir,No,No,from 50 to 100,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,Ariana,No,No,from 50 to 100,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,Ariana,No,No,300-500,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,MaNouba,No,No,300-500,RH,No,E-mail,No,10
Agri-food,Oils and Fats,MaNouba,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Oils and Fats,Tunis,No,No,from 50 to 100,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,Ben Arous,No,No,from 50 to 100,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,MaNouba,No,No,from 50 to 100,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,MaNouba,No,No,from 50 to 100,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,Tunis,No,No,from 50 to 100,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,Ariana,No,No,300-500,RH,No,E-mail,No,10
industrial manufacturing,aluminium manufacturing,Ariana,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,animal food manufacturing,Tunis,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Sugars and Derivatives,Tunis,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,animal food manufacturing,Tunis,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,animal food manufacturing,Tunis,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,animal food manufacturing,Tunis,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Tunis,No,No,300-500,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Tunis,No,No,300-500,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Ben Arous,No,No,300-500,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,tunis,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,tunis,No,No,300-500,agent comercial,No,E-mail,No,10
Agri-food,animal food manufacturing,tunis,No,No,300-500,agent comercial,No,E-mail,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
chemicals,plastics,Tunis,No,No,300-500,agent comercial,No,LinkedIn,No,10
chemicals,plastics,Ben Arous,No,No,300-500,agent comercial,No,LinkedIn,No,10
chemicals,plastics,tunis,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
chemicals,plastics,tunis,No,No,300-500,agent comercial,No,LinkedIn,No,10
chemicals,plastics,tunis,No,No,300-500,agent comercial,No,LinkedIn,No,10
Agri-food,animal food manufacturing,tunis,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
Agri-food,animal food manufacturing,Monastir,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
Agri-food,animal food manufacturing,Ben Arous,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
Agri-food,animal food manufacturing,Sfax,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
Agri-food,Biscuits and Confectioneries,Sfax,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
Agri-food,Flour-Based Products,Sfax,No,No,300-500,agent comercial,No,LinkedIn,No,10
Agri-food,Flour-Based Products,Sfax,No,No,300-500,agent comercial,No,LinkedIn,No,10
Agri-food,Flour-Based Products,Zagouhan,No,No,300-500,agent comercial,No,LinkedIn,No,10
Agri-food,Flour-Based Products,Zagouhan,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
Agri-food,Flour-Based Products,Zagouhan,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
Agri-food,Flour-Based Products,Tunis,No,No,from 50 to 100,agent comercial,No,LinkedIn,No,10
Agri-food,Beverages,"La Marsa,",No,No,300-500,marketing agent,No,LinkedIn,No,10
Agri-food,Beverages,Zagouhan,No,No,300-500,marketing agent,No,LinkedIn,No,10
Agri-food,Beverages,"Lissieu, Rhône-Alpes",No,No,300-500,marketing agent,No,Phone,No,10
chemicals,plastics,"Marseille, Provence-Alpes-Cote d'Azur",No,No,from 50 to 100,marketing agent,No,Phone,No,10
chemicals,plastics,Tunis,No,No,from 50 to 100,marketing agent,No,Phone,No,10
chemicals,packaging,Zaghouan,No,No,from 50 to 100,marketing agent,No,Phone,No,10
chemicals,packaging,Sfax,No,No,300-500,marketing agent,No,Phone,No,10
chemicals,packaging,Sfax,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,tunisia,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Sfax,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Sfax,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Sfax,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Ariane,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,sfax,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,bizerte,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Oils and Fats,Ariane,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Ariane,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Ariane,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Ariane,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Ariane,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Zaghouan,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Zaghouan,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Cereals and Derivatives,Zaghouan,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Dairy and Dairy Derivatives,Ben Arous,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Cereals and Derivatives,Ben Arous,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Cereals and Derivatives,Ben Arous,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Cereals and Derivatives,Béja,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Biscuits and Confectioneries,Tunis,No,No,from 50 to 100,marketing agent,No,Phone,No,10
Agri-food,Cereals and Derivatives,Tunis,No,No,300-500,marketing agent,No,Phone,No,10
Agri-food,Dairy and Dairy Derivatives,Ben Arous,No,No,300-500,marketing agent,yes,Phone,No,10
Agri-food,Oils and Fats,Béja,No,No,300-500,marketing agent,yes,Phone,No,10
Agri-food,Oils and Fats,Ben Arous,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
Agri-food,Oils and Fats,Ben Arous,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
Agri-food,Oils and Fats,Zaghouan,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
Agri-food,Oils and Fats,Bizerte,No,No,300-500,marketing agent,yes,Phone,No,10
Agri-food,Oils and Fats,Ben Arous,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,pharmaceutical,Ben Arous,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,pharmaceutical,Ariane,No,No,300-500,marketing agent,yes,Phone,No,10
chemicals,pharmaceutical,Ariane,No,No,300-500,Procurement Manager,yes,Phone,No,11
chemicals,pharmaceutical,Ariane,No,No,300-500,Procurement Manager,yes,Phone,No,12
chemicals,pharmaceutical,Zaghouan,No,No,from 50 to 100,Procurement Manager,yes,Phone,No,10
chemicals,pharmaceutical,Zaghouan,No,No,from 50 to 100,Procurement Manager,yes,Phone,No,14
chemicals,pharmaceutical,Zaghouan,No,No,from 50 to 100,Procurement Manager,yes,Phone,No,13
chemicals,animal food manufacturing,Ben Arous,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,animal food manufacturing,Ben Arous,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,animal food manufacturing,Ben Arous,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,animal food manufacturing,Béja,No,No,from 50 to 100,Procurement Manager,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Tunis,No,No,from 50 to 100,Procurement Manager,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Tunis,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Ben Arous,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Siliana,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,tunis,No,No,from 50 to 100,Procurement Manager,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Béja,No,No,from 50 to 100,Procurement Manager,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Tunis,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Tunis,No,No,from 50 to 100,Procurement Manager,No,Phone,No,10
Agri-food,animal food manufacturing,Sfax,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,animal food manufacturing,Ben Arous,No,No,from 50 to 100,Procurement Manager,No,Phone,No,10
Agri-food,animal food manufacturing,Ben Arous,No,No,from 50 to 100,Procurement Manager,No,Phone,No,10
Agri-food,Oils and Fats,Ariana,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,Oils and Fats,Sousse,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,Oils and Fats,Sousse,No,No,from 50 to 100,Procurement Manager,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,from 50 to 100,Procurement Manager,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,Oils and Fats,MaNouba,No,No,300-500,Procurement Manager,No,Phone,No,10
Agri-food,Oils and Fats,Sfax,No,No,from 50 to 100,Procurement Manager,No,Phone,No,10
Agri-food,Oils and Fats,Sfax,No,No,from 50 to 100,agent comercial,No,Phone,No,10
Agri-food,Oils and Fats,Nabeul,No,No,300-500,agent comercial,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,from 50 to 100,agent comercial,No,Phone,No,10
Agri-food,Oils and Fats,Nabeul,No,No,300-500,agent comercial,No,Phone,No,10
Agri-food,Oils and Fats,MaNouba,No,No,from 50 to 100,agent comercial,No,Phone,No,10
Agri-food,Oils and Fats,Kairouan,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
Agri-food,Oils and Fats,Bizerte,No,No,300-500,agent comercial,yes,Phone,No,10
chemicals,pharmaceutical,Tunis,No,No,300-500,agent comercial,yes,Phone,No,10
chemicals,pharmaceutical,Tunis,No,No,300-500,agent comercial,yes,Phone,No,10
chemicals,pharmaceutical,MaNouba,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,pharmaceutical,MaNouba,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,pharmaceutical,Sfax,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,pharmaceutical,Sfax,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,pharmaceutical,Nabeul,No,No,from 50 to 100,agent comercial,yes,E-mail,No,10
chemicals,pharmaceutical,Tunis,No,No,300-500,agent comercial,yes,E-mail,No,10
chemicals,pharmaceutical,Nabeul,No,No,300-500,agent comercial,yes,E-mail,No,10
chemicals,pharmaceutical,MaNouba,No,No,300-500,agent comercial,yes,E-mail,No,10
chemicals,pharmaceutical,Kairouan,No,No,from 50 to 100,agent comercial,yes,E-mail,No,10
chemicals,pharmaceutical,Bizerte,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,pharmaceutical,Tunis,No,No,300-500,marketing agent,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Tunis,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,MaNouba,No,No,300-500,marketing agent,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Sfax,No,No,300-500,marketing agent,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Sfax,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Nabeul,No,No,300-500,marketing agent,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Tunis,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Nabeul,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
Agri-food,Baby Food,MaNouba,No,No,300-500,marketing agent,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Kairouan,No,No,300-500,marketing agent,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Bizerte,No,No,300-500,marketing agent,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Tunis,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,pharmaceutical,Tunis,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,pharmaceutical,MaNouba,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,plastics,Sfax,No,No,300-500,marketing agent,yes,E-mail,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,plastics,Nabeul,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,plastics,Tunis,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,plastics,Nabeul,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,plastics,MaNouba,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,plastics,Kairouan,No,No,300-500,marketing agent,yes,E-mail,No,10
chemicals,plastics,Bizerte,No,No,300-500,marketing agent,yes,E-mail,No,10
chemicals,plastics,Tunis,No,No,300-500,marketing agent,yes,E-mail,No,10
chemicals,plastics,Tunis,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,plastics,MaNouba,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,plastics,Tunis,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
chemicals,pharmaceutical,Tunis.,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
